         time_stamp  satellite_count satellite_name  aggregator_flag                        federatedlearning_adjacencymatrix
2024-09-16 12:42:04                4    Satellite 1             True [[0, 1, 0, 0], [1, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2024-09-16 12:52:24                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-16 13:02:44                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-16 13:13:04                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-16 13:23:24                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-16 13:33:44                4    Satellite 2             True [[0, 1, 0, 0], [1, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2024-09-16 13:44:04                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-16 13:54:24                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-16 14:04:44                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-16 14:15:04                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-16 14:25:24                4    Satellite 3             True [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
2024-09-16 14:35:44                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-16 14:46:04                4    Satellite 4             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]
2024-09-16 14:56:24                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-16 15:06:44                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-16 15:17:04                4    Satellite 2             True [[0, 1, 0, 0], [1, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2024-09-16 15:27:24                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-16 15:37:44                4    Satellite 4             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]
2024-09-16 15:48:04                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-16 15:58:24                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-16 16:08:44                4    Satellite 2             True [[0, 1, 0, 0], [1, 0, 0, 1], [0, 0, 0, 0], [0, 1, 0, 0]]
2024-09-16 16:19:04                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-16 16:29:24                4    Satellite 4             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]
2024-09-16 16:39:44                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-16 16:50:04                4    Satellite 3             True [[0, 0, 1, 0], [0, 0, 0, 0], [1, 0, 0, 1], [0, 0, 1, 0]]
2024-09-16 17:00:24                4    Satellite 2             True [[0, 1, 0, 0], [1, 0, 0, 1], [0, 0, 0, 0], [0, 1, 0, 0]]
2024-09-16 17:10:44                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-16 17:21:04                4    Satellite 4             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]
2024-09-16 17:31:24                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-16 17:41:44                4    Satellite 3             True [[0, 0, 1, 0], [0, 0, 0, 0], [1, 0, 0, 1], [0, 0, 1, 0]]
2024-09-16 17:52:04                4    Satellite 2             True [[0, 1, 0, 0], [1, 0, 0, 1], [0, 0, 0, 0], [0, 1, 0, 0]]
2024-09-16 18:02:24                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-16 18:12:44                4    Satellite 4             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]
2024-09-16 18:23:04                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-16 18:33:24                4    Satellite 3             True [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
2024-09-16 18:43:44                4    Satellite 2             True [[0, 1, 0, 0], [1, 0, 0, 1], [0, 0, 0, 0], [0, 1, 0, 0]]
2024-09-16 18:54:04                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-16 19:04:24                4    Satellite 4             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]
2024-09-16 19:14:44                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-16 19:25:04                4    Satellite 3             True [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
2024-09-16 19:35:24                4    Satellite 4             True [[0, 1, 0, 1], [1, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]
2024-09-16 19:45:44                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-16 19:56:04                4    Satellite 4             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]
2024-09-16 20:06:24                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-16 20:16:44                4    Satellite 3             True [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
2024-09-16 20:27:04                4    Satellite 4             True [[0, 1, 0, 1], [1, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]
2024-09-16 20:37:24                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-16 20:47:44                4    Satellite 4             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]
2024-09-16 20:58:04                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-16 21:08:24                4    Satellite 2             True [[0, 1, 0, 0], [1, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2024-09-16 21:18:44                4    Satellite 4             True [[0, 1, 0, 1], [1, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]
2024-09-16 21:29:04                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-16 21:39:24                4    Satellite 4             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]
2024-09-16 21:49:44                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-16 22:00:04                4    Satellite 3             True [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
2024-09-16 22:10:24                4    Satellite 4             True [[0, 1, 0, 1], [1, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]
2024-09-16 22:20:44                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-16 22:31:04                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-16 22:41:24                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-16 22:51:44                4    Satellite 2             True [[0, 1, 0, 0], [1, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2024-09-16 23:02:04                4    Satellite 2             True [[0, 1, 0, 1], [1, 0, 0, 1], [0, 0, 0, 0], [1, 1, 0, 0]]
2024-09-16 23:12:24                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-16 23:22:44                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-16 23:33:04                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-16 23:43:24                4    Satellite 3             True [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
2024-09-16 23:53:44                4    Satellite 2             True [[0, 1, 0, 1], [1, 0, 0, 1], [0, 0, 0, 0], [1, 1, 0, 0]]
2024-09-17 00:04:04                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-17 00:14:24                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-17 00:24:44                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-17 00:35:04                4    Satellite 3             True [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
2024-09-17 00:45:24                4    Satellite 2             True [[0, 1, 0, 1], [1, 0, 0, 1], [0, 0, 0, 0], [1, 1, 0, 0]]
2024-09-17 00:55:44                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-17 01:06:04                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-17 01:16:24                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-17 01:26:44                4    Satellite 3             True [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
2024-09-17 01:37:04                4    Satellite 2             True [[0, 1, 0, 1], [1, 0, 0, 1], [0, 0, 0, 0], [1, 1, 0, 0]]
2024-09-17 01:47:24                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-17 01:57:44                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-17 02:08:04                4    Satellite 4             True [[0, 0, 0, 1], [0, 0, 0, 0], [0, 0, 0, 1], [1, 0, 1, 0]]
2024-09-17 02:18:24                4    Satellite 3             True [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
2024-09-17 02:28:44                4    Satellite 2             True [[0, 1, 0, 1], [1, 0, 0, 1], [0, 0, 0, 0], [1, 1, 0, 0]]
2024-09-17 02:39:04                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-17 02:49:24                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-17 02:59:44                4    Satellite 4             True [[0, 0, 0, 1], [0, 0, 0, 0], [0, 0, 0, 1], [1, 0, 1, 0]]
2024-09-17 03:10:04                4    Satellite 3             True [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
2024-09-17 03:20:24                4    Satellite 2             True [[0, 1, 0, 1], [1, 0, 0, 1], [0, 0, 0, 0], [1, 1, 0, 0]]
2024-09-17 03:30:44                4    Satellite 4             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]
2024-09-17 03:41:04                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-17 03:51:24                4    Satellite 4             True [[0, 0, 0, 1], [0, 0, 0, 0], [0, 0, 0, 1], [1, 0, 1, 0]]
2024-09-17 04:01:44                4    Satellite 3             True [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
2024-09-17 04:12:04                4    Satellite 2             True [[0, 1, 0, 1], [1, 0, 0, 1], [0, 0, 0, 0], [1, 1, 0, 0]]
2024-09-17 04:22:24                4    Satellite 4             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]
2024-09-17 04:32:44                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-17 04:43:04                4    Satellite 3             True [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
2024-09-17 04:53:24                4    Satellite 2             True [[0, 1, 0, 0], [1, 0, 0, 1], [0, 0, 0, 0], [0, 1, 0, 0]]
2024-09-17 05:03:44                4    Satellite 2             True [[0, 1, 0, 1], [1, 0, 0, 1], [0, 0, 0, 0], [1, 1, 0, 0]]
