         time_stamp  satellite_count satellite_name  aggregator_flag                        federatedlearning_adjacencymatrix
2024-09-24 12:00:00                4      NovaSAR-1             True [[0, 0, 0, 1], [0, 0, 0, 0], [0, 0, 0, 0], [1, 0, 0, 0]]
2024-09-24 12:10:00                4      NovaSAR-4             True [[0, 0, 0, 1], [0, 0, 0, 0], [0, 0, 0, 0], [1, 0, 0, 0]]
2024-09-24 12:20:00                4      NovaSAR-3             True [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
2024-09-24 12:30:00                4      NovaSAR-3             True [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
2024-09-24 12:40:00                4      NovaSAR-4             True [[0, 0, 0, 1], [0, 0, 0, 0], [0, 0, 0, 1], [1, 0, 1, 0]]
2024-09-24 12:50:00                4      NovaSAR-1             True [[0, 0, 0, 1], [0, 0, 0, 0], [0, 0, 0, 0], [1, 0, 0, 0]]
2024-09-24 13:00:00                4      NovaSAR-1             True [[0, 0, 0, 1], [0, 0, 0, 0], [0, 0, 0, 0], [1, 0, 0, 0]]
2024-09-24 13:10:00                4      NovaSAR-3             True [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
2024-09-24 13:20:00                4      NovaSAR-4             True [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
2024-09-24 13:30:00                4      NovaSAR-4             True [[0, 0, 0, 1], [0, 0, 0, 0], [0, 0, 0, 1], [1, 0, 1, 0]]
2024-09-24 13:40:00                4      NovaSAR-1             True [[0, 0, 0, 1], [0, 0, 0, 0], [0, 0, 0, 0], [1, 0, 0, 0]]
2024-09-24 13:50:00                4      NovaSAR-1             True [[0, 0, 0, 1], [0, 0, 0, 0], [0, 0, 0, 0], [1, 0, 0, 0]]
