Timestep: 1, Round: 1, Target Node: 4, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 2, Round: 1, Target Node: 4, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 3, Round: 1, Target Node: 4, Phase: TRANSMITTING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 4, Round: 1, Target Node: 4, Phase: TRANSMITTING
0,1,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 5, Round: 1, Target Node: 4, Phase: TRANSMITTING
0,0,1,0,0
0,0,1,0,0
1,1,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 6, Round: 1, Target Node: 4, Phase: TRANSMITTING
0,0,1,0,1
0,0,0,0,0
1,0,0,0,0
0,0,0,0,1
1,0,0,1,0

Timestep: 7, Round: 1, Target Node: 4, Phase: TRANSMITTING
0,0,0,0,0
0,0,1,0,0
0,1,0,0,1
0,0,0,0,0
0,0,1,0,0

Timestep: 8, Round: 1, Target Node: 4, Phase: TRANSMITTING
0,0,0,0,0
0,0,1,0,1
0,1,0,0,1
0,0,0,0,0
0,1,1,0,0

Timestep: 9, Round: 1, Target Node: 4, Phase: TRANSMITTING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,0,0,0,1
0,0,1,1,0

Timestep: 10, Round: 1, Target Node: 4, Phase: TRANSMITTING
0,0,1,0,0
0,0,1,0,0
1,1,0,1,1
0,0,1,0,1
0,0,1,1,0

